f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,etiqueta
0.90639126,0.69537884,0.82936656,0.34578428,0.83217037,0.71353805,0.861419,0.40074927,0.7832331,0.7218809,0.86132723,0.4042713,0.7396899,0.72962314,0.8615875,0.38441667,0.9193053,0.68198663,0.8394072,0.4270898,0.9091904,0.6705018,0.8391457,0.4378343,0.9081167,0.6603398,0.838849,0.42876685,0.56880134,0.7455561,1.0098503,0.46984997,0.80266654,0.70085055,0.8714479,0.4773083,0.76669943,0.7339551,0.8805819,0.42145082,0.8413279,0.7147723,0.8461393,0.4158284,0.44687495,0.9510541,1.015167,0.37466592,0.4579242,0.9137338,0.7923307,0.29251772,0.07569552,1.4423856,1.0553414,-1.3437043,0.3536254,1.2116522,0.71696484,-0.6285201,0.3152718,0.9321914,0.7322356,-1.7556269,-0.18123308,0.89386606,0.6190288,-1.2463104,0.359611,0.85388154,0.7425086,-1.5528615,-0.27026054,0.8357337,0.6205238,-1.1579808,0.4029017,0.84397036,0.66920066,-1.5196303,-0.2723924,0.8609812,0.5490798,-1.0626153,0.38611862,0.86438197,0.6884645,-1.5177083,-0.25307077,0.8750712,0.58522207,-1.0538567,0.25471267,0.46074706,0.17391127,-1.2986052,0.5382055,0.3491898,-0.16234459,-1.3562882,0.2454937,0.37293342,0.14118877,-0.46000937,0.07659504,0.28758302,-0.17110692,-0.5107712,0.25046578,0.28141204,-0.49327147,-0.5222838,0.16858853,0.19742796,-0.6438342,-0.55576456,0.26969054,0.26955816,-0.5217348,-0.52878696,0.16911325,0.18064669,-0.6525506,-0.591136,0.0849777,0.254397,-0.42128235,-0.49108776,0.17723918,0.18981631,-0.43772686,-0.635258,salto
0.4923468,-0.1228892,0.13419887,0.18547226,0.46904945,-0.07101196,0.11417714,0.10538034,0.44549885,-0.06788066,0.11395295,0.13274233,0.41676632,-0.06389132,0.113924265,0.13043435,0.4831734,-0.08152069,0.14148591,0.048304018,0.48124355,-0.08408137,0.1416256,0.031620998,0.4864974,-0.08610076,0.14158714,0.02006897,0.36340502,-0.054229587,-0.028599946,0.17000996,0.49277097,-0.10206332,0.106039904,0.010254498,0.46305233,-0.13035318,0.08205746,0.41058254,0.48055628,-0.14954612,0.11642538,0.39759552,0.31014648,-0.13912146,-0.17404264,0.55373144,0.38428754,-0.1789751,0.21605435,0.5904578,0.78382784,0.054011557,0.07273011,0.80483973,-0.37056658,0.011721795,0.5320279,0.6336549,0.097463556,0.3971966,0.2866982,0.69628155,0.18774167,0.40013552,0.71160626,0.44387975,-0.023453405,0.42848974,0.2869129,0.46427348,0.24643955,0.4307784,0.7289916,0.042023364,-0.0536315,0.42526802,0.34771028,0.45566946,0.32418743,0.40953588,0.7475195,0.0008840227,-0.016461054,0.40421692,0.33376217,0.4132541,0.30199823,0.3964563,0.7368604,-0.018619122,0.27741492,-0.5366708,-0.44620797,0.8003823,0.6233283,-0.5235542,0.42508638,0.6435531,0.040836107,-0.3866204,0.15267445,-0.105925806,0.37037113,-0.5390255,0.6049975,-0.5583963,-0.2120366,-0.5015179,-0.19968706,-0.15364502,0.26089603,-0.640191,0.45519805,-0.54013133,-0.24654824,-0.51491207,-0.23117878,-0.2839769,0.28282025,-0.6548265,0.4392793,-0.47399524,-0.28231174,-0.47475907,-0.19881146,-0.35609946,-0.020824062,-0.596531,0.5573274,-0.67836696,manos_cadera
-0.5175913,-2.6925642,-1.3238983,0.07188506,-0.41521737,-2.6765501,-1.3051797,-0.04323255,-0.3379051,-2.6734061,-1.3054969,0.006851083,-0.24449724,-2.6700516,-1.3058344,-0.05366173,-0.61778957,-2.6698701,-1.2904935,-0.08217186,-0.706585,-2.6658778,-1.2901659,-0.026529733,-0.7916067,-2.6657202,-1.2897891,-0.07906788,-0.09738702,-2.6553447,-1.0897404,-0.12931646,-0.90350753,-2.641767,-0.99360317,-0.21699795,-0.35596234,-2.7172,-1.2606751,0.15204102,-0.62505305,-2.7308395,-1.2379436,0.12516703,0.402849,-2.7023675,-0.8008381,0.3972418,-1.0890005,-2.540525,-0.5110921,0.232337,0.58328587,-0.57132006,-0.41652697,0.47002885,-1.5805334,-0.49425784,-0.05982147,-0.024397798,0.65985113,0.62136436,-0.9848633,-0.36275646,-1.3352587,0.40865368,-0.48236898,-0.7472508,0.66079813,0.81723446,-1.0474727,-0.50697684,-1.3282791,0.6285799,-0.5199216,-0.8374112,0.53210074,0.8523431,-1.2340072,-0.36592922,-1.3449996,0.6429886,-0.780337,-0.77584374,0.49367532,0.793538,-1.0713679,-0.39687523,-1.3188713,0.60617405,-0.6012544,-0.72860754,0.42689183,-0.72961915,-0.10215573,-0.5349436,-0.48843294,-0.5569728,0.127383,-0.6147222,1.3530846,0.65798974,0.18376723,-0.2146311,-0.20175941,0.58821094,0.21450385,-0.2888602,1.2068878,0.8736322,1.0610874,-0.27306616,0.4845578,0.85641915,0.95993453,-0.2702555,1.1208025,0.8824735,1.0883299,-0.39377478,0.5592738,0.8776387,0.9641829,-0.33956048,1.0758641,0.958931,0.59590346,-0.23351495,0.58735156,0.93395907,0.31920636,-0.26793334,brazos_abajo
-1.4902866,0.24890593,0.51153135,0.21729101,-1.5501398,0.24998865,0.5709042,0.23401597,-1.5809001,0.25557166,0.57048833,0.17995155,-1.6057845,0.2617974,0.5698978,0.20725119,-1.4459869,0.2393877,0.43492055,0.30201268,-1.3975174,0.23831885,0.43538472,0.3004548,-1.342111,0.24015093,0.4356029,0.28196007,-1.6074922,0.2760598,0.8294072,0.24956404,-1.2147009,0.24604052,0.10007474,0.30573955,-1.5774214,0.2381316,0.6039943,0.09053644,-1.4338384,0.24778236,0.41718927,0.052001704,-1.8498156,0.27847776,1.4469268,-0.86522776,-0.7702176,0.036879823,-0.7832282,-0.7751598,-0.8048173,-0.2176973,1.6825448,-0.9086781,1.4956399,-0.28976545,-1.2872603,0.6852265,0.51617724,-0.27510622,1.479991,0.16214171,1.961433,-0.511929,-0.9550585,0.8775507,0.5956854,-0.42259055,1.4669341,0.22933593,2.0228624,-0.5405975,-0.95821553,1.0498526,0.67800874,-0.41287884,1.3294661,0.2577217,2.0096078,-0.5368969,-0.7842424,1.039266,0.68086433,-0.34655356,1.4008943,0.3174007,2.0039325,-0.4979947,-0.85297644,0.9787662,-1.7687413,-0.10186964,1.7190735,0.5795976,-1.1402779,-0.15535682,-1.7229253,0.55966145,-1.2881558,-0.6531208,0.4375003,-0.23987679,-0.23884043,-0.68899786,-1.55265,1.7662423,-1.7740613,-0.50268024,0.51745385,-0.47556713,-1.2923234,-0.5072584,-1.1763551,0.70861393,-1.9312607,-0.4954901,0.53389674,-0.25321537,-1.5818228,-0.4887811,-1.1137182,0.3196151,-1.0901003,-0.49509114,0.994734,-0.31647602,-0.74875313,-0.50695103,-0.6884441,0.88325316,brazos_derecha
1.8570772,-0.9794833,-5.059331,-1.5881723,2.1375544,-1.3246725,-5.0710497,-2.6294873,2.3423574,-1.3098743,-5.071612,-2.6260805,2.5543866,-1.2982997,-5.0739074,-3.0290167,1.5284618,-1.4177152,-5.132583,-1.9024293,1.2966831,-1.4632239,-5.1340823,-1.5587822,1.048847,-1.5070591,-5.135193,-1.549103,2.6465826,-1.3836275,-4.8435574,-2.5933807,0.6306115,-1.6640724,-5.1503334,-1.4699148,2.1188762,-0.7704014,-4.9829993,-3.3862505,1.3387413,-0.8825626,-5.077163,-2.3337018,3.046256,-1.0013726,-4.1218505,-8.186216,-0.8788897,-1.4267783,-4.1972756,-1.4502987,3.0083134,1.2515967,-3.9547095,-0.0020856846,-1.7055691,0.6067765,-4.9430356,-0.6495218,1.0402704,0.013840269,-3.7570586,-0.04273683,-0.93091035,-0.15409823,-6.249478,-0.22621498,0.6938115,-0.12613975,-3.6824465,-0.2716421,-0.5787081,-0.10132053,-6.1623535,-0.20976144,0.79822963,-0.28975037,-3.720969,-0.30695456,-0.5015397,-0.2539623,-6.051852,-0.2620894,0.8704037,-0.23093107,-3.7642553,-0.39874154,-0.47037837,-0.20663747,-6.19368,-0.36376196,3.803912,2.4881675,0.49491554,-1.6166636,0.74593914,2.5130055,-0.4384818,-1.5054935,4.4645143,2.0098822,-1.3034736,-0.2563042,1.4221196,2.3815331,-1.9925599,-0.22607832,3.474737,2.2857502,1.9611913,-0.46019852,1.9029819,2.584821,0.5183738,-0.10773219,3.313447,2.2851994,2.1995075,-0.40430495,2.0829709,2.6326983,0.6454052,-0.16757807,2.6518397,2.3407197,1.2919793,-0.37235403,1.3235031,2.5088558,-1.2158366,-0.026266105,brazos_abajo
1.2205164,1.0040884,1.1060206,-0.2831735,1.0980332,0.9850942,1.1629074,-0.36664644,1.0528497,0.98426986,1.1625558,-0.40466502,1.0175103,0.98227274,1.1625195,-0.4847128,1.1781646,0.97570926,1.0869948,-0.22673148,1.1783715,0.9704475,1.0866252,-0.17472345,1.1680924,0.9656934,1.0858225,-0.1642593,0.8236672,0.9999151,1.4617732,-1.1938514,1.0174893,1.0142235,1.0330878,-0.22646819,1.1075172,1.0330552,1.225058,-1.1317496,1.1955637,1.0386189,1.1184417,-0.9681312,0.7181322,1.1962857,1.6935637,-2.9460063,0.8215643,1.1438572,0.6224709,-1.980576,0.045034036,1.5295905,1.6607994,-2.2671614,1.3236802,1.4067271,-0.010451183,-0.43245655,0.53262776,0.9287624,1.2317526,-1.09579,1.0294197,0.8699337,-0.31553125,-0.29254523,0.5541503,0.8450275,1.2244592,-0.87454796,0.9618437,0.8165398,-0.3498869,-0.14751291,0.6747313,0.828099,1.1064358,-0.84347606,0.9601779,0.761421,-0.27584827,-0.057045225,0.6649915,0.8564965,1.1597849,-0.79728895,0.97757626,0.77216023,-0.28167328,-0.203647,0.98468083,0.95942724,0.8298062,-0.9794978,1.0176973,0.81928617,-0.8166208,-0.829313,0.86075884,0.6239642,-0.1367086,-0.5258201,0.868011,0.6549898,-1.0223774,-0.2636344,0.38282445,0.52466893,-0.2346531,-0.5214114,0.34127778,0.56210417,-1.3407224,-0.30710292,0.26350123,0.5053426,-0.22296034,-0.37425834,0.20383453,0.53752667,-1.336055,-0.3752708,0.49384305,0.4721731,-0.1818207,-0.37026393,0.50089973,0.53129697,-1.3563865,-0.10450274,salto
-0.032768246,0.8559372,-0.08251978,0.39989048,-0.024654804,0.8471207,-0.062675074,0.4601688,-0.028755495,0.8449555,-0.062215097,0.44473633,-0.04169977,0.8385716,-0.061803296,0.4402483,0.005571907,0.85956883,-0.04524917,0.5151803,0.0326402,0.8671615,-0.045165975,0.5200418,0.05922291,0.8723858,-0.044679828,0.5383628,-0.049177416,0.84291816,-0.034720935,0.5263197,0.09243492,0.9211251,0.079227135,0.5765284,-0.016755112,0.87681144,-0.07958467,0.4513633,0.02051772,0.8790499,-0.0486708,0.48063052,0.048939407,0.5877267,-0.16623586,0.39392057,0.19270189,0.7304269,-0.07998296,0.505996,0.36118722,-1.506219,-0.69907016,0.81039953,-0.102573246,-1.5273142,-0.46704298,0.7204054,0.01167361,-1.8951666,-0.52081555,0.9213266,0.019943576,-1.76319,-0.40835157,0.92290694,-0.021442132,-1.889965,-0.5537586,1.0718066,0.07500674,-1.7422172,-0.4351266,1.0944799,-0.027472647,-1.872671,-0.43175188,1.0500259,0.08825669,-1.7234533,-0.30250064,1.0891354,-0.008667731,-1.8972119,-0.48638797,1.0475019,0.041464336,-1.7485726,-0.36911392,1.1025811,0.18927175,0.28075957,-0.08648725,-0.23315993,0.09523296,0.21093081,0.09559956,-0.10584807,0.095969744,0.1982074,-0.79578626,-0.36808565,0.24226117,0.16511375,-0.84069556,-0.17264692,-0.17034958,0.18793632,-0.50026023,-0.37359414,0.1489724,0.1477692,-0.64408904,-0.28801647,-0.22009401,0.1606055,-0.46156305,-0.31599918,0.06051159,0.1305198,-0.6333525,-0.20845942,-0.028384782,0.18748596,-0.57525647,-0.23394623,0.36690387,0.12626417,-0.8785502,-0.14392486,brazos_arriba
0.45442814,-0.15085866,0.1582181,0.20173995,0.4198037,-0.11314726,0.14116971,0.1344178,0.4000089,-0.11300334,0.14071983,0.1581393,0.37198934,-0.11138117,0.14043549,0.12430964,0.4613356,-0.10764826,0.16200322,0.12241137,0.4755192,-0.10413629,0.16222225,0.13623405,0.4985979,-0.09917305,0.1621308,0.105605565,0.34242728,-0.08439117,-0.008820543,0.2419168,0.51756257,-0.091804855,0.09636012,0.20099798,0.4228022,-0.2049245,0.104369685,0.432245,0.47893372,-0.20565197,0.13128383,0.43624303,0.29382858,-0.14221546,-0.12127406,0.55261034,0.40891987,-0.23962384,0.13433613,0.60221106,0.7873456,0.07981984,0.15200594,0.8017076,-0.37773308,-0.020721465,0.4575344,0.6398595,0.113027155,0.38923818,0.3546868,0.5917071,0.13029018,0.36685354,0.66356397,0.36518544,-0.01508488,0.4339417,0.35764754,0.21689746,0.20119736,0.39898822,0.68656945,-0.05250559,-0.061832536,0.42461511,0.40422985,0.23698574,0.28104484,0.38972047,0.694813,-0.06797675,-0.027247598,0.40323898,0.39549068,0.1747111,0.2485939,0.37895632,0.68765557,-0.12552159,0.13978405,-0.55735713,-0.31671476,0.7927748,0.41402632,-0.66989094,0.29523998,0.6476929,-0.3063065,-0.41300207,0.10171032,0.061801255,0.0009307327,-0.6085188,0.4814972,-0.3813888,-0.64948434,-0.5355593,-0.12833332,-0.19327466,-0.27540922,-0.69217175,0.38062352,-0.4760816,-0.69288856,-0.55047727,-0.1519315,-0.35219073,-0.25549135,-0.70243144,0.36944035,-0.5000882,-0.65696716,-0.5089255,-0.09252588,-0.37445587,-0.48836228,-0.6483224,0.50180423,-0.6391427,manos_cadera
-1.231079,-0.009058602,-0.07833608,0.40282872,-1.2028464,0.010387112,-0.046614945,0.45920834,-1.1968788,0.01701413,-0.046937708,0.45409313,-1.1920544,0.025163895,-0.04687223,0.44173113,-1.1885588,0.00012115169,-0.057636023,0.50874203,-1.1589062,-0.0021585217,-0.05730846,0.518941,-1.1243975,-0.002685713,-0.05717897,0.52559096,-1.1387408,0.06544565,0.06529222,0.5319695,-1.0271848,0.005472358,-0.014095043,0.56655616,-1.226239,0.029874854,-0.057438347,0.49019268,-1.2051154,0.015229001,-0.0782495,0.50961614,-1.017091,0.37160313,0.23234688,0.5300905,-1.210483,0.25186902,-0.0023673007,0.61677635,-0.94631475,1.1845119,0.29474995,-0.31657496,-1.6002778,0.8679771,-0.099507585,0.48802376,-0.31901714,0.86846536,-0.15587986,-1.8529335,-0.7018794,0.65765244,-0.47730967,-0.5572446,-0.020616978,0.9292035,-0.16030204,-1.7988408,-0.62587696,0.76646876,-0.48843193,-0.8792575,-0.025025269,0.92597383,-0.2590446,-1.7596004,-0.52796376,0.7684378,-0.509189,-0.7907008,-0.08040813,0.92626923,-0.20445614,-1.8100113,-0.5777539,0.6556931,-0.48459703,-0.89112884,-1.5863137,0.1919964,0.2460251,-1.4180089,-1.8563994,0.17725529,-0.22939666,-1.2943544,-1.6668832,0.18865882,0.13066338,-0.42280588,-2.3906605,0.14069974,-0.32652554,-0.4119307,-1.4232742,0.12304206,0.4200143,-0.5268969,-2.2141643,0.09303128,0.28336927,-0.40085855,-1.3536333,0.13443834,0.41984758,-0.5090246,-2.0460272,0.10257231,0.29454657,-0.50374484,-1.3130819,0.09633802,0.2912218,-0.5310243,-2.0918303,0.08114445,0.100507095,-0.5772177,brazos_derecha
0.5380136,-0.09927174,-0.00985184,0.27300966,0.5079373,-0.041123983,-0.03340216,0.25229645,0.4842491,-0.042163365,-0.0336093,0.26741317,0.4562785,-0.041518982,-0.033764143,0.25570092,0.5454778,-0.033291556,-0.007828039,0.2543627,0.5493352,-0.029093957,-0.007786301,0.25807214,0.5635695,-0.026315525,-0.007828498,0.24464568,0.44464898,-0.03703288,-0.1969632,0.3750015,0.5735483,-0.042222872,-0.069939174,0.3236092,0.5012011,-0.14634582,-0.07104177,0.46682587,0.5421688,-0.13971552,-0.039310843,0.47725403,0.40291005,-0.13295119,-0.28673843,0.57365876,0.4829831,-0.1544175,0.050286613,0.63607323,0.87168735,0.08353822,0.0025008828,0.8273253,-0.32846603,-0.0019255859,0.41584972,0.68758863,0.12984638,0.40583622,0.16484077,0.83887416,0.23178251,0.4085564,0.5687968,0.6632589,-0.017397689,0.44532317,0.16597275,0.75563717,0.26964495,0.44817778,0.5876682,0.391144,-0.04595845,0.43472344,0.22275637,0.73811156,0.34868866,0.41795266,0.6011978,0.35244572,-0.011929638,0.41206855,0.21240938,0.71564174,0.3311913,0.4108506,0.5947605,0.3428938,0.3364973,-0.59381104,-0.3916094,1.0415375,0.6810606,-0.6241999,0.36731166,0.9784834,-0.011109139,-0.4466587,0.1388494,-0.06323794,0.28649437,-0.6157568,0.59185845,-0.47329816,-0.39667076,-0.580074,0.012658828,-0.33708152,0.007870996,-0.70987636,0.58905935,-0.5655579,-0.43797293,-0.5940955,-0.006429088,-0.3096642,0.012836907,-0.7186501,0.5821896,-0.46254122,-0.45900074,-0.5511766,0.060575098,-0.5253865,-0.2649441,-0.66710025,0.71897155,-0.75598115,manos_cadera
